year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,buses_and_coaches,all_HGVs,2_axle,3_axle,4_axle,5_axle,6_axle,7_axle,Mean GVW
2023,M40,TM,16,15,421004,266974,52.300491,-1.6934085,W,136,5036,1503,237,182,592,2515,8,30218.08080206472
2023,M40,TM,LA Boundary,LA Boundary,462820,210000,51.785143,-1.0907047,N,43,3624,1284,185,197,835,1122,2,26490.87531034483
2023,M40,TM,LA Boundary,LA Boundary,462820,210000,51.785143,-1.0907047,S,30,3151,1034,137,121,677,1179,2,27868.203174603175
2023,M40,TM,12,LA Boundary,440000,250000,52.146846,-1.4168549,N,86,5394,1616,209,314,1208,2042,4,28551.22473576859
2023,M40,TM,12,LA Boundary,440000,250000,52.146846,-1.4168549,S,99,5303,1364,201,213,1266,2255,3,30279.23010184836
2023,M57,TM,5,6,340850,397200,53.468199,-2.8925048,C,145,6592,1392,335,402,1424,3029,11,31237.910662824208
2023,M6,TM,M6 (32) North,M6 (32) South,354205,434650,53.806116,-2.6968707,N,61,3299,298,92,211,891,1807,2,35025.92547712814
2023,M6,TM,M6 (32) North,M6 (32) South,354205,434650,53.806116,-2.6968707,S,85,3571,467,101,142,1320,1539,4,32716.474391267842
2023,M3,TM,11,12,446750,124854,51.021166,-1.3348451,N,166,4763,914,206,333,490,2815,6,33151.663937867335
2023,M3,TM,11,12,446750,124854,51.021166,-1.3348451,S,138,5004,1193,162,241,2083,1318,7,28732.85251798561
2023,M3,TM,9,10,449609,129438,51.062144,-1.2934602,N,140,4911,854,202,264,254,3325,11,34728.42057026477
2023,M3,TM,9,10,449609,129438,51.062144,-1.2934602,S,112,4770,883,214,208,507,2953,6,34204.60259903584
2023,M4,TM,25,24,332868,189525,51.600548,-2.9706545,E,119,4618,856,282,254,581,2641,5,33104.93873132713
2023,M4,TM,25,24,332868,189525,51.600548,-2.9706545,W,118,4437,759,311,221,495,2646,6,33446.33100495719
2023,M4,TM,35,LA Boundary,301385,180142,51.511569,-3.422448,E,82,3256,684,230,218,498,1619,7,31241.43366093366
2023,M4,TM,35,LA Boundary,301385,180142,51.511569,-3.422448,W,75,3083,584,235,164,106,1986,7,33877.33127839066
2023,M4,TM,49,48,257493,207123,51.744633,-4.0655521,N,35,1496,441,168,96,166,621,4,28287.072860962566
2023,M4,TM,49,48,257493,207123,51.744633,-4.0655521,S,38,1441,379,150,106,169,632,4,29262.384027777778
2023,M9,TM,3,2,304400,677800,55.983619,-3.533795,E,33,1347,491,76,106,255,415,3,26015.98588410104
2023,M9,TM,3,2,304400,677800,55.983619,-3.533795,W,37,1438,471,100,105,243,514,4,27042.16353514266
2023,M74,TM,9,8,277444,647780,55.70792,-3.9520133,N,31,4045,350,166,208,1307,2010,4,34305.06353522868
2023,M74,TM,9,8,277444,647780,55.70792,-3.9520133,S,39,4534,431,176,265,1718,1939,5,33075.20247022497
2023,M90,TM,1,2,312450,683800,56.039048,-3.4067782,N,252,2101,300,153,162,365,1117,6,32961.98716119829
2023,M90,TM,1,2,312450,683800,56.039048,-3.4067782,S,227,2354,565,107,180,275,1222,6,31371.008492569003
2023,M8,TM,13,12,263000,666600,55.873026,-4.1911784,E,300,1530,540,111,117,429,329,4,25205.05294117647
2023,M8,TM,13,12,263000,666600,55.873026,-4.1911784,W,311,1106,432,70,79,268,254,3,24826.633815551537
2023,M8,TM,23,22,256000,664200,55.849439,-4.301682,E,120,1335,468,145,102,105,512,3,26775.120599250935
2023,M8,TM,23,22,256000,664200,55.849439,-4.301682,W,142,1316,488,131,118,109,466,4,25969.287234042553
2023,M876,TM,M9,3,290000,685700,56.051477,-3.7677128,E,52,2377,696,335,239,257,839,11,26723.346234749686
2023,M876,TM,M9,3,290000,685700,56.051477,-3.7677128,W,77,1889,525,326,232,240,556,10,25541.614081524614
2023,M1,TM,5,6,512360,200200,51.689321,-0.37592999,N,251,2097,675,117,261,359,675,9,26594.774332061068
2023,M1,TM,5,6,512360,200200,51.689321,-0.37592999,S,286,1787,568,114,249,310,537,9,26172.506994963627
2023,M1,TM,19,20,455839,279518,52.410823,-1.1805268,N,105,7592,1038,271,388,2001,3887,7,33512.435721812435
2023,M1,TM,19,20,455839,279518,52.410823,-1.1805268,S,121,6907,769,251,266,903,4711,6,36283.69562699102
2023,M1,TM,LA Boundary,25,447291,333691,52.898589,-1.2984321,N,107,8801,1560,205,548,1053,5425,10,34019.04942620157
2023,M1,TM,LA Boundary,25,447291,333691,52.898589,-1.2984321,S,134,9496,1447,424,594,3401,3623,8,31346.32589238707
2023,M1,TM,34,35,438000,393350,53.435567,-1.429476,N,87,5668,1339,243,401,888,2787,11,31112.465514200034
2023,M1,TM,34,35,438000,393350,53.435567,-1.429476,S,126,6210,1290,342,435,854,3279,11,32033.71486073096
2023,M1,TM,39,40,429707,419911,53.67483,-1.5517862,N,103,6016,1144,342,344,637,3542,8,33363.810204420806
2023,M1,TM,39,40,429707,419911,53.67483,-1.5517862,S,107,6363,1159,403,395,698,3699,8,33130.931939641625
2023,M2,TM,LA Boundary,SPUR,582995,163573,51.341784,0.62598254,E,54,3615,578,102,252,1200,1477,7,31841.086559734515
2023,M2,TM,LA Boundary,SPUR,582995,163573,51.341784,0.62598254,W,82,3612,559,106,262,1192,1485,7,32148.832456383272
2023,M3,TM,Junction 9 M3,Junction 8 M3,452970,138370,51.142154,-1.2441953,N,75,2221,579,136,202,823,479,3,26563.56300630063
2023,M3,TM,Junction 9 M3,Junction 8 M3,452970,138370,51.142154,-1.2441953,S,66,2184,532,136,174,760,581,3,27289.702653247943
2023,M4,TM,LA Boundary,4,506000,178400,51.494616,-0.4744791,E,391,4046,1847,169,468,455,1089,19,23525.08994316778
2023,M4,TM,LA Boundary,4,506000,178400,51.494616,-0.4744791,W,378,4039,1846,177,433,539,1028,18,23441.512991833704
2023,M4,TM,LA Boundary,J8/9,486000,176400,51.480029,-0.76298178,N,229,4233,1370,162,311,603,1779,8,28460.245216158753
